Parameters;fold1;fold2;fold3;fold4;fold5
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.6, 'recall': 0.002067539627842867, 'f1-score': 0.00412087912087912, 'support': 1451}, '1': {'precision': 0.5761124121779859, 'recall': 0.9989847715736041, 'f1-score': 0.7307835128109915, 'support': 1970}, 'accuracy': 0.5761473253434668, 'macro avg': {'precision': 0.5880562060889929, 'recall': 0.5005261556007234, 'f1-score': 0.3674521959659353, 'support': 3421}, 'weighted avg': {'precision': 0.5862442128005355, 'recall': 0.5761473253434668, 'f1-score': 0.4225731996030544, 'support': 3421}};{'-1': {'precision': 0.7142857142857143, 'recall': 0.003450655624568668, 'f1-score': 0.006868131868131868, 'support': 1449}, '1': {'precision': 0.5752941176470588, 'recall': 0.9989785495403473, 'f1-score': 0.7301231802911534, 'support': 1958}, 'accuracy': 0.5755796888758439, 'macro avg': {'precision': 0.6447899159663866, 'recall': 0.501214602582458, 'f1-score': 0.36849565607964263, 'support': 3407}, 'weighted avg': {'precision': 0.6344073620055595, 'recall': 0.5755796888758439, 'f1-score': 0.4225221925702969, 'support': 3407}};{'-1': {'precision': 0.8888888888888888, 'recall': 0.0054869684499314125, 'f1-score': 0.010906612133605997, 'support': 1458}, '1': {'precision': 0.575651155984782, 'recall': 0.9994918699186992, 'f1-score': 0.7305478180129991, 'support': 1968}, 'accuracy': 0.5764740221833041, 'macro avg': {'precision': 0.7322700224368355, 'recall': 0.5024894191843153, 'f1-score': 0.37072721507330253, 'support': 3426}, 'weighted avg': {'precision': 0.708955480145374, 'recall': 0.5764740221833041, 'f1-score': 0.4242907023760594, 'support': 3426}};{'-1': {'precision': 0.8666666666666667, 'recall': 0.00896551724137931, 'f1-score': 0.017747440273037544, 'support': 1450}, '1': {'precision': 0.5790861159929701, 'recall': 0.998989388580091, 'f1-score': 0.7331726311885778, 'support': 1979}, 'accuracy': 0.5803441236512102, 'macro avg': {'precision': 0.7228763913298184, 'recall': 0.5039774529107351, 'f1-score': 0.37546003573080766, 'support': 3429}, 'weighted avg': {'precision': 0.7006935229561839, 'recall': 0.5803441236512102, 'f1-score': 0.4306452101248468, 'support': 3429}};{'-1': {'precision': 0.8333333333333334, 'recall': 0.0033921302578018998, 'f1-score': 0.006756756756756756, 'support': 1474}, '1': {'precision': 0.5740794433169034, 'recall': 0.9994952044422009, 'f1-score': 0.729281767955801, 'support': 1981}, 'accuracy': 0.5745296671490593, 'macro avg': {'precision': 0.7037063883251184, 'recall': 0.5014436673500013, 'f1-score': 0.3680192623562789, 'support': 3455}, 'weighted avg': {'precision': 0.6846844314165322, 'recall': 0.5745296671490593, 'f1-score': 0.4210323131056154, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.5652173913043478, 'recall': 0.00895933838731909, 'f1-score': 0.01763907734056988, 'support': 1451}, '1': {'precision': 0.5768098881695115, 'recall': 0.9949238578680203, 'f1-score': 0.730253353204173, 'support': 1970}, 'accuracy': 0.5767319497223035, 'macro avg': {'precision': 0.5710136397369296, 'recall': 0.5019415981276697, 'f1-score': 0.37394621527237143, 'support': 3421}, 'weighted avg': {'precision': 0.571892988739125, 'recall': 0.5767319497223035, 'f1-score': 0.4280015805417678, 'support': 3421}};{'-1': {'precision': 0.5121951219512195, 'recall': 0.014492753623188406, 'f1-score': 0.02818791946308725, 'support': 1449}, '1': {'precision': 0.5757575757575758, 'recall': 0.9897854954034729, 'f1-score': 0.7280240420736289, 'support': 1958}, 'accuracy': 0.5749926621661285, 'macro avg': {'precision': 0.5439763488543976, 'recall': 0.5021391245133306, 'f1-score': 0.3781059807683581, 'support': 3407}, 'weighted avg': {'precision': 0.5487244100500882, 'recall': 0.5749926621661285, 'f1-score': 0.4303831434347458, 'support': 3407}};{'-1': {'precision': 0.7971014492753623, 'recall': 0.03772290809327846, 'f1-score': 0.07203667321545514, 'support': 1458}, '1': {'precision': 0.5820673220137027, 'recall': 0.9928861788617886, 'f1-score': 0.7338967136150234, 'support': 1968}, 'accuracy': 0.5863981319322825, 'macro avg': {'precision': 0.6895843856445325, 'recall': 0.5153045434775335, 'f1-score': 0.4029666934152393, 'support': 3426}, 'weighted avg': {'precision': 0.6735792185541287, 'recall': 0.5863981319322825, 'f1-score': 0.4522294810106537, 'support': 3426}};{'-1': {'precision': 0.6923076923076923, 'recall': 0.018620689655172412, 'f1-score': 0.03626595030221625, 'support': 1450}, '1': {'precision': 0.58023598820059, 'recall': 0.9939363314805457, 'f1-score': 0.7327249022164277, 'support': 1979}, 'accuracy': 0.5815106445027705, 'macro avg': {'precision': 0.6362718402541412, 'recall': 0.5062785105678591, 'f1-score': 0.384495426259322, 'support': 3429}, 'weighted avg': {'precision': 0.627627055845763, 'recall': 0.5815106445027705, 'f1-score': 0.43821761721333446, 'support': 3429}};{'-1': {'precision': 0.625, 'recall': 0.0101763907734057, 'f1-score': 0.020026702269692925, 'support': 1474}, '1': {'precision': 0.5747595453220635, 'recall': 0.9954568399798082, 'f1-score': 0.7287509238728751, 'support': 1981}, 'accuracy': 0.575108538350217, 'macro avg': {'precision': 0.5998797726610318, 'recall': 0.5028166153766069, 'f1-score': 0.374388813071284, 'support': 3455}, 'weighted avg': {'precision': 0.5961935338011599, 'recall': 0.575108538350217, 'f1-score': 0.42638927332494736, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.5652173913043478, 'recall': 0.01791867677463818, 'f1-score': 0.03473613894455578, 'support': 1451}, '1': {'precision': 0.5777777777777777, 'recall': 0.9898477157360406, 'f1-score': 0.7296538821328344, 'support': 1970}, 'accuracy': 0.5776088862905583, 'macro avg': {'precision': 0.5714975845410628, 'recall': 0.5038831962553394, 'f1-score': 0.3821950105386951, 'support': 3421}, 'weighted avg': {'precision': 0.5724503528222247, 'recall': 0.5776088862905583, 'f1-score': 0.43490800508922367, 'support': 3421}};{'-1': {'precision': 0.5795454545454546, 'recall': 0.035196687370600416, 'f1-score': 0.06636304489264802, 'support': 1449}, '1': {'precision': 0.5787887918047605, 'recall': 0.9811031664964249, 'f1-score': 0.7280651885541027, 'support': 1958}, 'accuracy': 0.5788083357792779, 'macro avg': {'precision': 0.5791671231751075, 'recall': 0.5081499269335127, 'f1-score': 0.39721411672337537, 'support': 3407}, 'weighted avg': {'precision': 0.5791106011124405, 'recall': 0.5788083357792779, 'f1-score': 0.44664270362147934, 'support': 3407}};{'-1': {'precision': 0.7475728155339806, 'recall': 0.05281207133058985, 'f1-score': 0.09865470852017938, 'support': 1458}, '1': {'precision': 0.5844116761962083, 'recall': 0.9867886178861789, 'f1-score': 0.7340767340767341, 'support': 1968}, 'accuracy': 0.5893169877408057, 'macro avg': {'precision': 0.6659922458650944, 'recall': 0.5198003446083843, 'f1-score': 0.4163657212984567, 'support': 3426}, 'weighted avg': {'precision': 0.6538480279634213, 'recall': 0.5893169877408057, 'f1-score': 0.4636607056875173, 'support': 3426}};{'-1': {'precision': 0.6621621621621622, 'recall': 0.03379310344827586, 'f1-score': 0.06430446194225721, 'support': 1450}, '1': {'precision': 0.5824143070044709, 'recall': 0.9873673572511369, 'f1-score': 0.7326584176977878, 'support': 1979}, 'accuracy': 0.584135316418781, 'macro avg': {'precision': 0.6222882345833165, 'recall': 0.5105802303497063, 'f1-score': 0.39848143982002254, 'support': 3429}, 'weighted avg': {'precision': 0.616136788771357, 'recall': 0.584135316418781, 'f1-score': 0.45003571841358847, 'support': 3429}};{'-1': {'precision': 0.5581395348837209, 'recall': 0.016282225237449117, 'f1-score': 0.031641397495056026, 'support': 1474}, '1': {'precision': 0.5750293083235639, 'recall': 0.9904088844018173, 'f1-score': 0.7276098646393473, 'support': 1981}, 'accuracy': 0.5748191027496382, 'macro avg': {'precision': 0.5665844216036424, 'recall': 0.5033455548196332, 'f1-score': 0.37962563106720165, 'support': 3455}, 'weighted avg': {'precision': 0.5678236567894601, 'recall': 0.5748191027496382, 'f1-score': 0.43069017706461926, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.5436507936507936, 'recall': 0.09441764300482426, 'f1-score': 0.1608925425719319, 'support': 1451}, '1': {'precision': 0.585358157147365, 'recall': 0.9416243654822335, 'f1-score': 0.7219303366413699, 'support': 1970}, 'accuracy': 0.5822858813212511, 'macro avg': {'precision': 0.5645044753990793, 'recall': 0.5180210042435289, 'f1-score': 0.44141143960665086, 'support': 3421}, 'weighted avg': {'precision': 0.5676681880057325, 'recall': 0.5822858813212511, 'f1-score': 0.48396896885570645, 'support': 3421}};{'-1': {'precision': 0.5828220858895705, 'recall': 0.13112491373360938, 'f1-score': 0.21408450704225354, 'support': 1449}, '1': {'precision': 0.5913664394677053, 'recall': 0.9305413687436159, 'f1-score': 0.7231593570152809, 'support': 1958}, 'accuracy': 0.5905488699735838, 'macro avg': {'precision': 0.587094262678638, 'recall': 0.5308331412386127, 'f1-score': 0.46862193202876723, 'support': 3407}, 'weighted avg': {'precision': 0.5877325186180671, 'recall': 0.5905488699735838, 'f1-score': 0.5066493900029778, 'support': 3407}};{'-1': {'precision': 0.6127167630057804, 'recall': 0.14540466392318244, 'f1-score': 0.23503325942350334, 'support': 1458}, '1': {'precision': 0.5954545454545455, 'recall': 0.931910569105691, 'f1-score': 0.7266244057052298, 'support': 1968}, 'accuracy': 0.5971978984238179, 'macro avg': {'precision': 0.6040856542301629, 'recall': 0.5386576165144368, 'f1-score': 0.4808288325643666, 'support': 3426}, 'weighted avg': {'precision': 0.6028008131689938, 'recall': 0.5971978984238179, 'f1-score': 0.5174183662193113, 'support': 3426}};{'-1': {'precision': 0.5724137931034483, 'recall': 0.11448275862068966, 'f1-score': 0.19080459770114944, 'support': 1450}, '1': {'precision': 0.5909525326537114, 'recall': 0.9373420919656392, 'f1-score': 0.7248925361469323, 'support': 1979}, 'accuracy': 0.5893846602508019, 'macro avg': {'precision': 0.5816831628785799, 'recall': 0.5259124252931644, 'f1-score': 0.45784856692404086, 'support': 3429}, 'weighted avg': {'precision': 0.5831131706391645, 'recall': 0.5893846602508019, 'f1-score': 0.4990460763200483, 'support': 3429}};{'-1': {'precision': 0.6037735849056604, 'recall': 0.1519674355495251, 'f1-score': 0.24281842818428184, 'support': 1474}, '1': {'precision': 0.5946822308690013, 'recall': 0.9257950530035336, 'f1-score': 0.7241855873642646, 'support': 1981}, 'accuracy': 0.5956584659913169, 'macro avg': {'precision': 0.5992279078873308, 'recall': 0.5388812442765294, 'f1-score': 0.4835020077742732, 'support': 3455}, 'weighted avg': {'precision': 0.5985608577431071, 'recall': 0.5956584659913169, 'f1-score': 0.5188208427531807, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.5118577075098815, 'recall': 0.17849758787043418, 'f1-score': 0.2646908533469597, 'support': 1451}, '1': {'precision': 0.5910806174957118, 'recall': 0.8746192893401015, 'f1-score': 0.7054247697031728, 'support': 1970}, 'accuracy': 0.5793627594270682, 'macro avg': {'precision': 0.5514691625027967, 'recall': 0.5265584386052679, 'f1-score': 0.4850578115250662, 'support': 3421}, 'weighted avg': {'precision': 0.5574786173818738, 'recall': 0.5793627594270682, 'f1-score': 0.5184896885477022, 'support': 3421}};{'-1': {'precision': 0.5644859813084112, 'recall': 0.20841959972394755, 'f1-score': 0.30443548387096775, 'support': 1449}, '1': {'precision': 0.6006267409470752, 'recall': 0.8810010214504597, 'f1-score': 0.7142857142857143, 'support': 1958}, 'accuracy': 0.5949515702964485, 'macro avg': {'precision': 0.5825563611277432, 'recall': 0.5447103105872036, 'f1-score': 0.509360599078341, 'support': 3407}, 'weighted avg': {'precision': 0.5852560451101442, 'recall': 0.5949515702964485, 'f1-score': 0.5399760624304258, 'support': 3407}};{'-1': {'precision': 0.5548172757475083, 'recall': 0.22908093278463648, 'f1-score': 0.32427184466019415, 'support': 1458}, '1': {'precision': 0.6019830028328612, 'recall': 0.8638211382113821, 'f1-score': 0.7095158597662772, 'support': 1968}, 'accuracy': 0.5936952714535902, 'macro avg': {'precision': 0.5784001392901847, 'recall': 0.5464510354980092, 'f1-score': 0.5168938522132357, 'support': 3426}, 'weighted avg': {'precision': 0.5819107231800752, 'recall': 0.5936952714535902, 'f1-score': 0.5455678813586097, 'support': 3426}};{'-1': {'precision': 0.5537037037037037, 'recall': 0.20620689655172414, 'f1-score': 0.300502512562814, 'support': 1450}, '1': {'precision': 0.6015922464520596, 'recall': 0.8782213239009601, 'f1-score': 0.71405094494659, 'support': 1979}, 'accuracy': 0.5940507436570429, 'macro avg': {'precision': 0.5776479750778816, 'recall': 0.5422141102263421, 'f1-score': 0.507276728754702, 'support': 3429}, 'weighted avg': {'precision': 0.5813419148728481, 'recall': 0.5940507436570429, 'f1-score': 0.5391762797507675, 'support': 3429}};{'-1': {'precision': 0.5687285223367697, 'recall': 0.22455902306648576, 'f1-score': 0.32198443579766534, 'support': 1474}, '1': {'precision': 0.6021580229725026, 'recall': 0.8732963149924281, 'f1-score': 0.7128141738772147, 'support': 1981}, 'accuracy': 0.5965267727930536, 'macro avg': {'precision': 0.5854432726546361, 'recall': 0.5489276690294569, 'f1-score': 0.51739930483744, 'support': 3455}, 'weighted avg': {'precision': 0.5878960594596024, 'recall': 0.5965267727930536, 'f1-score': 0.5460752349686023, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.504950495049505, 'recall': 0.31633356305995863, 'f1-score': 0.38898305084745766, 'support': 1451}, '1': {'precision': 0.6050955414012739, 'recall': 0.7715736040609137, 'f1-score': 0.678268630075859, 'support': 1970}, 'accuracy': 0.5784858228588132, 'macro avg': {'precision': 0.5550230182253895, 'recall': 0.5439535835604361, 'f1-score': 0.5336258404616583, 'support': 3421}, 'weighted avg': {'precision': 0.5626195220337157, 'recall': 0.5784858228588132, 'f1-score': 0.5555696018793053, 'support': 3421}};{'-1': {'precision': 0.5420743639921722, 'recall': 0.38233264320220844, 'f1-score': 0.4484014569000405, 'support': 1449}, '1': {'precision': 0.6247379454926625, 'recall': 0.7609805924412666, 'f1-score': 0.6861616394197558, 'support': 1958}, 'accuracy': 0.5999412973290285, 'macro avg': {'precision': 0.5834061547424174, 'recall': 0.5716566178217375, 'f1-score': 0.5672815481598982, 'support': 3407}, 'weighted avg': {'precision': 0.589581053918195, 'recall': 0.5999412973290285, 'f1-score': 0.5850420314153334, 'support': 3407}};{'-1': {'precision': 0.5096711798839458, 'recall': 0.3614540466392318, 'f1-score': 0.42295345104333865, 'support': 1458}, '1': {'precision': 0.6107859531772575, 'recall': 0.7423780487804879, 'f1-score': 0.6701834862385321, 'support': 1968}, 'accuracy': 0.5802685347343841, 'macro avg': {'precision': 0.5602285665306017, 'recall': 0.5519160477098598, 'f1-score': 0.5465684686409353, 'support': 3426}, 'weighted avg': {'precision': 0.5677546223361459, 'recall': 0.5802685347343841, 'f1-score': 0.5649700036598421, 'support': 3426}};{'-1': {'precision': 0.5261599210266535, 'recall': 0.36758620689655175, 'f1-score': 0.4328055217214779, 'support': 1450}, '1': {'precision': 0.6204470198675497, 'recall': 0.7574532592218292, 'f1-score': 0.6821387940841865, 'support': 1979}, 'accuracy': 0.5925925925925926, 'macro avg': {'precision': 0.5733034704471016, 'recall': 0.5625197330591905, 'f1-score': 0.5574721579028322, 'support': 3429}, 'weighted avg': {'precision': 0.5805764181413031, 'recall': 0.5925925925925926, 'f1-score': 0.5767047768996058, 'support': 3429}};{'-1': {'precision': 0.5199619771863118, 'recall': 0.3710990502035278, 'f1-score': 0.43309580364212186, 'support': 1474}, '1': {'precision': 0.6142322097378277, 'recall': 0.7450782433114589, 'f1-score': 0.6733576642335767, 'support': 1981}, 'accuracy': 0.5855282199710564, 'macro avg': {'precision': 0.5670970934620697, 'recall': 0.5580886467574934, 'f1-score': 0.5532267339378493, 'support': 3455}, 'weighted avg': {'precision': 0.5740138818706976, 'recall': 0.5855282199710564, 'f1-score': 0.5708552090926781, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.49534883720930234, 'recall': 0.44038594073053067, 'f1-score': 0.46625319226559647, 'support': 1451}, '1': {'precision': 0.6189582355701548, 'recall': 0.6695431472081218, 'f1-score': 0.6432577420141428, 'support': 1970}, 'accuracy': 0.572347266881029, 'macro avg': {'precision': 0.5571535363897286, 'recall': 0.5549645439693263, 'f1-score': 0.5547554671398696, 'support': 3421}, 'weighted avg': {'precision': 0.5665299289283551, 'recall': 0.572347266881029, 'f1-score': 0.5681821495893721, 'support': 3421}};{'-1': {'precision': 0.5124025513819985, 'recall': 0.4989648033126294, 'f1-score': 0.5055944055944056, 'support': 1449}, '1': {'precision': 0.6362725450901804, 'recall': 0.6486210418794689, 'f1-score': 0.6423874557410219, 'support': 1958}, 'accuracy': 0.5849721162312885, 'macro avg': {'precision': 0.5743375482360895, 'recall': 0.5737929225960492, 'f1-score': 0.5739909306677138, 'support': 3407}, 'weighted avg': {'precision': 0.5835905313293481, 'recall': 0.5849721162312885, 'f1-score': 0.5842092550769635, 'support': 3407}};{'-1': {'precision': 0.49162011173184356, 'recall': 0.4828532235939643, 'f1-score': 0.48719723183390995, 'support': 1458}, '1': {'precision': 0.6218655967903711, 'recall': 0.6300813008130082, 'f1-score': 0.6259464916708732, 'support': 1968}, 'accuracy': 0.5674255691768827, 'macro avg': {'precision': 0.5567428542611074, 'recall': 0.5564672622034863, 'f1-score': 0.5565718617523916, 'support': 3426}, 'weighted avg': {'precision': 0.5664371329213305, 'recall': 0.5674255691768827, 'f1-score': 0.5668990833689782, 'support': 3426}};{'-1': {'precision': 0.5152173913043478, 'recall': 0.4903448275862069, 'f1-score': 0.5024734982332155, 'support': 1450}, '1': {'precision': 0.63933626159102, 'recall': 0.6619504800404244, 'f1-score': 0.6504468718967229, 'support': 1979}, 'accuracy': 0.5893846602508019, 'macro avg': {'precision': 0.577276826447684, 'recall': 0.5761476538133157, 'f1-score': 0.5764601850649692, 'support': 3429}, 'weighted avg': {'precision': 0.5868508833712256, 'recall': 0.5893846602508019, 'f1-score': 0.5878742875245778, 'support': 3429}};{'-1': {'precision': 0.5082617316589557, 'recall': 0.5217096336499322, 'f1-score': 0.5148978908603951, 'support': 1474}, '1': {'precision': 0.63697219361483, 'recall': 0.624432104997476, 'f1-score': 0.6306398164669894, 'support': 1981}, 'accuracy': 0.5806078147612156, 'macro avg': {'precision': 0.5726169626368929, 'recall': 0.5730708693237041, 'f1-score': 0.5727688536636922, 'support': 3455}, 'weighted avg': {'precision': 0.5820606969656379, 'recall': 0.5806078147612156, 'f1-score': 0.5812610615193424, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.48886213124623723, 'recall': 0.5596140592694693, 'f1-score': 0.5218508997429305, 'support': 1451}, '1': {'precision': 0.6369318181818182, 'recall': 0.5690355329949238, 'f1-score': 0.6010723860589812, 'support': 1970}, 'accuracy': 0.5650394621455714, 'macro avg': {'precision': 0.5628969747140278, 'recall': 0.5643247961321965, 'f1-score': 0.5614616429009558, 'support': 3421}, 'weighted avg': {'precision': 0.574128802764242, 'recall': 0.5650394621455714, 'f1-score': 0.5674709897875432, 'support': 3421}};{'-1': {'precision': 0.4951786727169597, 'recall': 0.6024844720496895, 'f1-score': 0.5435865504358655, 'support': 1449}, '1': {'precision': 0.6496350364963503, 'recall': 0.5454545454545454, 'f1-score': 0.5930038867295947, 'support': 1958}, 'accuracy': 0.5697094217786909, 'macro avg': {'precision': 0.572406854606655, 'recall': 0.5739695087521175, 'f1-score': 0.5682952185827301, 'support': 3407}, 'weighted avg': {'precision': 0.5839446135094595, 'recall': 0.5697094217786909, 'f1-score': 0.571986651540392, 'support': 3407}};{'-1': {'precision': 0.48150224215246634, 'recall': 0.5891632373113854, 'f1-score': 0.5299198025909932, 'support': 1458}, '1': {'precision': 0.6352009744214373, 'recall': 0.529979674796748, 'f1-score': 0.5778393351800555, 'support': 1968}, 'accuracy': 0.5551663747810858, 'macro avg': {'precision': 0.5583516082869519, 'recall': 0.5595714560540668, 'f1-score': 0.5538795688855244, 'support': 3426}, 'weighted avg': {'precision': 0.5697915314418227, 'recall': 0.5551663747810858, 'f1-score': 0.5574462591395264, 'support': 3426}};{'-1': {'precision': 0.4991364421416235, 'recall': 0.5979310344827586, 'f1-score': 0.5440853467210542, 'support': 1450}, '1': {'precision': 0.6554373522458629, 'recall': 0.5603840323395655, 'f1-score': 0.6041950422228275, 'support': 1979}, 'accuracy': 0.5762613006707495, 'macro avg': {'precision': 0.5772868971937432, 'recall': 0.579157533411162, 'f1-score': 0.5741401944719409, 'support': 3429}, 'weighted avg': {'precision': 0.5893433540973801, 'recall': 0.5762613006707495, 'f1-score': 0.5787768274437166, 'support': 3429}};{'-1': {'precision': 0.4952178533475027, 'recall': 0.6322930800542741, 'f1-score': 0.5554231227651967, 'support': 1474}, '1': {'precision': 0.6554354736172918, 'recall': 0.5204442200908632, 'f1-score': 0.5801913337084974, 'support': 1981}, 'accuracy': 0.5681620839363242, 'macro avg': {'precision': 0.5753266634823972, 'recall': 0.5763686500725687, 'f1-score': 0.567807228236847, 'support': 3455}, 'weighted avg': {'precision': 0.5870821386599345, 'recall': 0.5681620839363242, 'f1-score': 0.5696245195462903, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.4843517138599106, 'recall': 0.6719503790489317, 'f1-score': 0.562933025404157, 'support': 1451}, '1': {'precision': 0.6619318181818182, 'recall': 0.4730964467005076, 'f1-score': 0.551805802249852, 'support': 1970}, 'accuracy': 0.5574393452206957, 'macro avg': {'precision': 0.5731417660208644, 'recall': 0.5725234128747196, 'f1-score': 0.5573694138270044, 'support': 3421}, 'weighted avg': {'precision': 0.5866121071701, 'recall': 0.5574393452206957, 'f1-score': 0.5565253581682665, 'support': 3421}};{'-1': {'precision': 0.48177946048272596, 'recall': 0.7025534851621809, 'f1-score': 0.5715889949466592, 'support': 1449}, '1': {'precision': 0.6669242658423493, 'recall': 0.440755873340143, 'f1-score': 0.530750307503075, 'support': 1958}, 'accuracy': 0.5520986204872321, 'macro avg': {'precision': 0.5743518631625376, 'recall': 0.5716546792511619, 'f1-score': 0.551169651224867, 'support': 3407}, 'weighted avg': {'precision': 0.58818202252973, 'recall': 0.5520986204872321, 'f1-score': 0.5481190360342617, 'support': 3407}};{'-1': {'precision': 0.47309743092583617, 'recall': 0.6694101508916324, 'f1-score': 0.5543879579664868, 'support': 1458}, '1': {'precision': 0.6463683052090976, 'recall': 0.4476626016260163, 'f1-score': 0.5289702791954368, 'support': 1968}, 'accuracy': 0.542031523642732, 'macro avg': {'precision': 0.5597328680674669, 'recall': 0.5585363762588244, 'f1-score': 0.5416791185809617, 'support': 3426}, 'weighted avg': {'precision': 0.5726295618626308, 'recall': 0.542031523642732, 'f1-score': 0.5397872598283004, 'support': 3426}};{'-1': {'precision': 0.4821256038647343, 'recall': 0.6882758620689655, 'f1-score': 0.5670454545454545, 'support': 1450}, '1': {'precision': 0.6674025018395879, 'recall': 0.45831227892875187, 'f1-score': 0.5434391851408028, 'support': 1979}, 'accuracy': 0.5555555555555556, 'macro avg': {'precision': 0.5747640528521611, 'recall': 0.5732940704988587, 'f1-score': 0.5552423198431287, 'support': 3429}, 'weighted avg': {'precision': 0.5890556070995653, 'recall': 0.5555555555555556, 'f1-score': 0.5534214221302297, 'support': 3429}};{'-1': {'precision': 0.4818346957311535, 'recall': 0.7198100407055631, 'f1-score': 0.5772578890097932, 'support': 1474}, '1': {'precision': 0.6703910614525139, 'recall': 0.42402826855123676, 'f1-score': 0.5194805194805194, 'support': 1981}, 'accuracy': 0.5502170767004342, 'macro avg': {'precision': 0.5761128785918337, 'recall': 0.5719191546283999, 'f1-score': 0.5483692042451563, 'support': 3455}, 'weighted avg': {'precision': 0.5899476220680608, 'recall': 0.5502170767004342, 'f1-score': 0.5441299674359897, 'support': 3455}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.47160286074884306, 'recall': 0.7725706409372847, 'f1-score': 0.5856844305120168, 'support': 1451}, '1': {'precision': 0.6839080459770115, 'recall': 0.36243654822335025, 'f1-score': 0.4737889847378899, 'support': 1970}, 'accuracy': 0.5363928675825782, 'macro avg': {'precision': 0.5777554533629272, 'recall': 0.5675035945803175, 'f1-score': 0.5297367076249533, 'support': 3421}, 'weighted avg': {'precision': 0.5938598659810828, 'recall': 0.5363928675825782, 'f1-score': 0.5212488771138789, 'support': 3421}};{'-1': {'precision': 0.4711737868104521, 'recall': 0.7839889579020014, 'f1-score': 0.5886010362694301, 'support': 1449}, '1': {'precision': 0.6857429718875502, 'recall': 0.34882533197139937, 'f1-score': 0.46242383209207855, 'support': 1958}, 'accuracy': 0.5339007924860582, 'macro avg': {'precision': 0.5784583793490011, 'recall': 0.5664071449367004, 'f1-score': 0.5255124341807543, 'support': 3407}, 'weighted avg': {'precision': 0.5944865148353884, 'recall': 0.5339007924860582, 'f1-score': 0.5160871044293203, 'support': 3407}};{'-1': {'precision': 0.47044025157232705, 'recall': 0.7695473251028807, 'f1-score': 0.5839188134270101, 'support': 1458}, '1': {'precision': 0.6772334293948127, 'recall': 0.35823170731707316, 'f1-score': 0.4685942173479561, 'support': 1968}, 'accuracy': 0.5332749562171629, 'macro avg': {'precision': 0.5738368404835699, 'recall': 0.563889516209977, 'f1-score': 0.5262565153874831, 'support': 3426}, 'weighted avg': {'precision': 0.5892286269239475, 'recall': 0.5332749562171629, 'f1-score': 0.5176728107756445, 'support': 3426}};{'-1': {'precision': 0.46953255425709517, 'recall': 0.7758620689655172, 'f1-score': 0.5850234009360374, 'support': 1450}, '1': {'precision': 0.6853823814133592, 'recall': 0.35775644264780193, 'f1-score': 0.4701195219123507, 'support': 1979}, 'accuracy': 0.5345581802274716, 'macro avg': {'precision': 0.5774574678352271, 'recall': 0.5668092558066595, 'f1-score': 0.5275714614241941, 'support': 3429}, 'weighted avg': {'precision': 0.5941073013968579, 'recall': 0.5345581802274716, 'f1-score': 0.5187082138296286, 'support': 3429}};{'-1': {'precision': 0.4700956937799043, 'recall': 0.7998643147896879, 'f1-score': 0.592164741336012, 'support': 1474}, '1': {'precision': 0.6884899683210137, 'recall': 0.32912670368500757, 'f1-score': 0.44535519125683054, 'support': 1981}, 'accuracy': 0.5299565846599131, 'macro avg': {'precision': 0.579292831050459, 'recall': 0.5644955092373477, 'f1-score': 0.5187599662964213, 'support': 3455}, 'weighted avg': {'precision': 0.595316839327209, 'recall': 0.5299565846599131, 'f1-score': 0.5079882670359083, 'support': 3455}}
