Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.2, 'recall': 0.006369426751592357, 'f1-score': 0.01234567901234568, 'support': 628}, '1': {'precision': 0.7575757575757576, 'recall': 0.9918616480162767, 'f1-score': 0.8590308370044053, 'support': 1966}, 'accuracy': 0.7532767925983038, 'macro avg': {'precision': 0.47878787878787876, 'recall': 0.49911553738393455, 'f1-score': 0.4356882580083755, 'support': 2594}, 'weighted avg': {'precision': 0.6225882572837084, 'recall': 0.7532767925983038, 'f1-score': 0.6540507756246777, 'support': 2594}};{'-1': {'precision': 0.14814814814814814, 'recall': 0.006359300476947536, 'f1-score': 0.012195121951219513, 'support': 629}, '1': {'precision': 0.7580332946186604, 'recall': 0.9883897021706209, 'f1-score': 0.8580192813321648, 'support': 1981}, 'accuracy': 0.7517241379310344, 'macro avg': {'precision': 0.4530907213834043, 'recall': 0.49737450132378425, 'f1-score': 0.43510720164169214, 'support': 2610}, 'weighted avg': {'precision': 0.6110533110439661, 'recall': 0.7517241379310344, 'f1-score': 0.6541788996269484, 'support': 2610}};{'-1': {'precision': 0.29411764705882354, 'recall': 0.007974481658692184, 'f1-score': 0.015527950310559004, 'support': 627}, '1': {'precision': 0.759659969088099, 'recall': 0.993933265925177, 'f1-score': 0.8611476127901884, 'support': 1978}, 'accuracy': 0.7566218809980806, 'macro avg': {'precision': 0.5268888080734613, 'recall': 0.5009538737919346, 'f1-score': 0.4383377815503737, 'support': 2605}, 'weighted avg': {'precision': 0.6476081318856592, 'recall': 0.7566218809980806, 'f1-score': 0.657614588462078, 'support': 2605}};{'-1': {'precision': 0.15789473684210525, 'recall': 0.004815409309791332, 'f1-score': 0.009345794392523364, 'support': 623}, '1': {'precision': 0.7598760650658405, 'recall': 0.9919110212335692, 'f1-score': 0.8605263157894738, 'support': 1978}, 'accuracy': 0.7554786620530565, 'macro avg': {'precision': 0.4588854009539729, 'recall': 0.49836321527168026, 'f1-score': 0.4349360550909986, 'support': 2601}, 'weighted avg': {'precision': 0.6156875346992942, 'recall': 0.7554786620530565, 'f1-score': 0.6566487822138106, 'support': 2601}};{'-1': {'precision': 0.1, 'recall': 0.003189792663476874, 'f1-score': 0.006182380216383308, 'support': 627}, '1': {'precision': 0.7579395817195972, 'recall': 0.9908860759493671, 'f1-score': 0.858898398068905, 'support': 1975}, 'accuracy': 0.7528823981552651, 'macro avg': {'precision': 0.4289697908597986, 'recall': 0.49703793430642196, 'f1-score': 0.43254038914264414, 'support': 2602}, 'weighted avg': {'precision': 0.5993968769777881, 'recall': 0.7528823981552651, 'f1-score': 0.6534207104464872, 'support': 2602}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.16666666666666666, 'recall': 0.006369426751592357, 'f1-score': 0.012269938650306749, 'support': 628}, '1': {'precision': 0.7571984435797665, 'recall': 0.9898270600203459, 'f1-score': 0.8580246913580246, 'support': 1966}, 'accuracy': 0.7517347725520431, 'macro avg': {'precision': 0.46193255512321657, 'recall': 0.49809824338596914, 'f1-score': 0.4351473150041657, 'support': 2594}, 'weighted avg': {'precision': 0.6142323850210053, 'recall': 0.7517347725520431, 'f1-score': 0.6532698784434344, 'support': 2594}};{'-1': {'precision': 0.09090909090909091, 'recall': 0.003179650238473768, 'f1-score': 0.006144393241167435, 'support': 629}, '1': {'precision': 0.7577279752704791, 'recall': 0.9899040888440181, 'f1-score': 0.8583935215583279, 'support': 1981}, 'accuracy': 0.7521072796934866, 'macro avg': {'precision': 0.424318533089785, 'recall': 0.49654186954124596, 'f1-score': 0.4322689573997477, 'support': 2610}, 'weighted avg': {'precision': 0.5970271790010105, 'recall': 0.7521072796934866, 'f1-score': 0.6530047469562229, 'support': 2610}};{'-1': {'precision': 0.45454545454545453, 'recall': 0.007974481658692184, 'f1-score': 0.01567398119122257, 'support': 627}, '1': {'precision': 0.7602158828064765, 'recall': 0.9969666329625885, 'f1-score': 0.8626421697287838, 'support': 1978}, 'accuracy': 0.7589251439539347, 'macro avg': {'precision': 0.6073806686759655, 'recall': 0.5024705573106403, 'f1-score': 0.4391580754600032, 'support': 2605}, 'weighted avg': {'precision': 0.6866437682115971, 'recall': 0.7589251439539347, 'f1-score': 0.6587845673437355, 'support': 2605}};{'-1': {'precision': 0.17647058823529413, 'recall': 0.004815409309791332, 'f1-score': 0.009375, 'support': 623}, '1': {'precision': 0.760061919504644, 'recall': 0.9929221435793731, 'f1-score': 0.8610258658483121, 'support': 1978}, 'accuracy': 0.7562475970780469, 'macro avg': {'precision': 0.46826625386996906, 'recall': 0.4988687764445822, 'f1-score': 0.43520043292415606, 'support': 2601}, 'weighted avg': {'precision': 0.6202782211652341, 'recall': 0.7562475970780469, 'f1-score': 0.657035673836202, 'support': 2601}};{'-1': {'precision': 0.16666666666666666, 'recall': 0.003189792663476874, 'f1-score': 0.006259780907668231, 'support': 627}, '1': {'precision': 0.7586872586872587, 'recall': 0.9949367088607595, 'f1-score': 0.8608981380065717, 'support': 1975}, 'accuracy': 0.755956956187548, 'macro avg': {'precision': 0.4626769626769627, 'recall': 0.49906325076211816, 'f1-score': 0.43357895945711994, 'support': 2602}, 'weighted avg': {'precision': 0.6160289530773774, 'recall': 0.755956956187548, 'f1-score': 0.6549572272067975, 'support': 2602}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.14705882352941177, 'recall': 0.007961783439490446, 'f1-score': 0.015105740181268881, 'support': 628}, '1': {'precision': 0.756640625, 'recall': 0.9852492370295015, 'f1-score': 0.8559434379142731, 'support': 1966}, 'accuracy': 0.748650732459522, 'macro avg': {'precision': 0.4518497242647059, 'recall': 0.496605510234496, 'f1-score': 0.43552458904777097, 'support': 2594}, 'weighted avg': {'precision': 0.6090626098405822, 'recall': 0.748650732459522, 'f1-score': 0.652379029981996, 'support': 2594}};{'-1': {'precision': 0.10714285714285714, 'recall': 0.0047694753577106515, 'f1-score': 0.0091324200913242, 'support': 629}, '1': {'precision': 0.7575522850503486, 'recall': 0.9873801110550228, 'f1-score': 0.8573307034845496, 'support': 1981}, 'accuracy': 0.7505747126436781, 'macro avg': {'precision': 0.4323475710966028, 'recall': 0.4960747932063667, 'f1-score': 0.4332315617879369, 'support': 2610}, 'weighted avg': {'precision': 0.6008061049147884, 'recall': 0.7505747126436781, 'f1-score': 0.6529181669886344, 'support': 2610}};{'-1': {'precision': 0.30434782608695654, 'recall': 0.011164274322169059, 'f1-score': 0.02153846153846154, 'support': 627}, '1': {'precision': 0.7598760650658405, 'recall': 0.9919110212335692, 'f1-score': 0.8605263157894738, 'support': 1978}, 'accuracy': 0.7558541266794626, 'macro avg': {'precision': 0.5321119455763985, 'recall': 0.5015376477778691, 'f1-score': 0.44103238866396766, 'support': 2605}, 'weighted avg': {'precision': 0.6502345273154527, 'recall': 0.7558541266794626, 'f1-score': 0.6585895078756985, 'support': 2605}};{'-1': {'precision': 0.21875, 'recall': 0.011235955056179775, 'f1-score': 0.021374045801526718, 'support': 623}, '1': {'precision': 0.7602179836512262, 'recall': 0.987360970677452, 'f1-score': 0.8590279305036287, 'support': 1978}, 'accuracy': 0.7535563244905805, 'macro avg': {'precision': 0.4894839918256131, 'recall': 0.4992984628668159, 'f1-score': 0.4402009881525777, 'support': 2601}, 'weighted avg': {'precision': 0.6305238068674068, 'recall': 0.7535563244905805, 'f1-score': 0.6583903410497995, 'support': 2601}};{'-1': {'precision': 0.17391304347826086, 'recall': 0.006379585326953748, 'f1-score': 0.01230769230769231, 'support': 627}, '1': {'precision': 0.7584335013571152, 'recall': 0.990379746835443, 'f1-score': 0.8590250329380764, 'support': 1975}, 'accuracy': 0.7532667179093006, 'macro avg': {'precision': 0.466173272417688, 'recall': 0.4983796660811984, 'f1-score': 0.4356663626228844, 'support': 2602}, 'weighted avg': {'precision': 0.6175824917145165, 'recall': 0.7532667179093006, 'f1-score': 0.6549928374825611, 'support': 2602}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.23684210526315788, 'recall': 0.05732484076433121, 'f1-score': 0.0923076923076923, 'support': 628}, '1': {'precision': 0.7575757575757576, 'recall': 0.940996948118006, 'f1-score': 0.8393829401088928, 'support': 1966}, 'accuracy': 0.7270624518118736, 'macro avg': {'precision': 0.4972089314194577, 'recall': 0.4991608944411686, 'f1-score': 0.46584531620829256, 'support': 2594}, 'weighted avg': {'precision': 0.6315076258670789, 'recall': 0.7270624518118736, 'f1-score': 0.6585181538254873, 'support': 2594}};{'-1': {'precision': 0.24647887323943662, 'recall': 0.05564387917329094, 'f1-score': 0.0907911802853437, 'support': 629}, '1': {'precision': 0.7593192868719612, 'recall': 0.9459868753154972, 'f1-score': 0.8424365025848506, 'support': 1981}, 'accuracy': 0.7314176245210728, 'macro avg': {'precision': 0.5028990800556989, 'recall': 0.5008153772443941, 'f1-score': 0.46661384143509715, 'support': 2610}, 'weighted avg': {'precision': 0.6357267120923221, 'recall': 0.7314176245210728, 'f1-score': 0.6612928597778047, 'support': 2610}};{'-1': {'precision': 0.2727272727272727, 'recall': 0.05741626794258373, 'f1-score': 0.09486166007905138, 'support': 627}, '1': {'precision': 0.7610190052567731, 'recall': 0.9514661274014156, 'f1-score': 0.8456526623230735, 'support': 1978}, 'accuracy': 0.7362763915547025, 'macro avg': {'precision': 0.5168731389920229, 'recall': 0.5044411976719997, 'f1-score': 0.4702571612010624, 'support': 2605}, 'weighted avg': {'precision': 0.6434915901719376, 'recall': 0.7362763915547025, 'f1-score': 0.6649440410535911, 'support': 2605}};{'-1': {'precision': 0.26356589147286824, 'recall': 0.05457463884430177, 'f1-score': 0.09042553191489364, 'support': 623}, '1': {'precision': 0.7617313915857605, 'recall': 0.9519716885743175, 'f1-score': 0.8462921348314608, 'support': 1978}, 'accuracy': 0.7370242214532872, 'macro avg': {'precision': 0.5126486415293143, 'recall': 0.5032731637093096, 'f1-score': 0.46835883337317724, 'support': 2601}, 'weighted avg': {'precision': 0.6424091668374592, 'recall': 0.7370242214532872, 'f1-score': 0.6652445017607106, 'support': 2601}};{'-1': {'precision': 0.31313131313131315, 'recall': 0.049441786283891544, 'f1-score': 0.08539944903581266, 'support': 627}, '1': {'precision': 0.7618857371154615, 'recall': 0.9655696202531645, 'f1-score': 0.8517195176418044, 'support': 1975}, 'accuracy': 0.7448116833205227, 'macro avg': {'precision': 0.5375085251233873, 'recall': 0.5075057032685281, 'f1-score': 0.46855948333880854, 'support': 2602}, 'weighted avg': {'precision': 0.6537500630808493, 'recall': 0.7448116833205227, 'f1-score': 0.6670605310868633, 'support': 2602}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.24503311258278146, 'recall': 0.1178343949044586, 'f1-score': 0.15913978494623657, 'support': 628}, '1': {'precision': 0.7582897033158813, 'recall': 0.884028484231943, 'f1-score': 0.8163457022076092, 'support': 1966}, 'accuracy': 0.6985350809560524, 'macro avg': {'precision': 0.5016614079493313, 'recall': 0.5009314395682009, 'f1-score': 0.4877427435769229, 'support': 2594}, 'weighted avg': {'precision': 0.6340317468855087, 'recall': 0.6985350809560524, 'f1-score': 0.657238024474324, 'support': 2594}};{'-1': {'precision': 0.22433460076045628, 'recall': 0.09379968203497616, 'f1-score': 0.1322869955156951, 'support': 629}, '1': {'precision': 0.7571367703451214, 'recall': 0.8970217062089854, 'f1-score': 0.8211645101663586, 'support': 1981}, 'accuracy': 0.7034482758620689, 'macro avg': {'precision': 0.49073568555278885, 'recall': 0.49541069412198074, 'f1-score': 0.47672575284102686, 'support': 2610}, 'weighted avg': {'precision': 0.6287334888628401, 'recall': 0.7034482758620689, 'f1-score': 0.6551476685129994, 'support': 2610}};{'-1': {'precision': 0.25597269624573377, 'recall': 0.11961722488038277, 'f1-score': 0.16304347826086954, 'support': 627}, '1': {'precision': 0.7612456747404844, 'recall': 0.8897876643073812, 'f1-score': 0.8205128205128205, 'support': 1978}, 'accuracy': 0.7044145873320538, 'macro avg': {'precision': 0.5086091854931091, 'recall': 0.504702444593882, 'f1-score': 0.491778149386845, 'support': 2605}, 'weighted avg': {'precision': 0.6396310269415559, 'recall': 0.7044145873320538, 'f1-score': 0.6622658809381666, 'support': 2605}};{'-1': {'precision': 0.2647058823529412, 'recall': 0.10112359550561797, 'f1-score': 0.14634146341463414, 'support': 623}, '1': {'precision': 0.7630131189166314, 'recall': 0.9115267947421638, 'f1-score': 0.8306841741534209, 'support': 1978}, 'accuracy': 0.7174163783160323, 'macro avg': {'precision': 0.5138595006347862, 'recall': 0.5063251951238908, 'f1-score': 0.4885128187840275, 'support': 2601}, 'weighted avg': {'precision': 0.6436569449915338, 'recall': 0.7174163783160323, 'f1-score': 0.6667681769253302, 'support': 2601}};{'-1': {'precision': 0.2681818181818182, 'recall': 0.09409888357256778, 'f1-score': 0.13931523022432113, 'support': 627}, '1': {'precision': 0.7615449202350966, 'recall': 0.9184810126582279, 'f1-score': 0.832683038788157, 'support': 1975}, 'accuracy': 0.7198308993082244, 'macro avg': {'precision': 0.5148633692084574, 'recall': 0.5062899481153978, 'f1-score': 0.48599913450623905, 'support': 2602}, 'weighted avg': {'precision': 0.642659960593511, 'recall': 0.7198308993082244, 'f1-score': 0.6656032478698153, 'support': 2602}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.24125230202578268, 'recall': 0.2085987261146497, 'f1-score': 0.22374039282664387, 'support': 628}, '1': {'precision': 0.757679180887372, 'recall': 0.7904374364191251, 'f1-score': 0.7737117251680358, 'support': 1966}, 'accuracy': 0.6495759444872783, 'macro avg': {'precision': 0.4994657414565773, 'recall': 0.4995180812668874, 'f1-score': 0.4987260589973398, 'support': 2594}, 'weighted avg': {'precision': 0.6326537067450906, 'recall': 0.6495759444872783, 'f1-score': 0.6405652345318006, 'support': 2594}};{'-1': {'precision': 0.21052631578947367, 'recall': 0.178060413354531, 'f1-score': 0.19293712316968128, 'support': 629}, '1': {'precision': 0.7512030798845043, 'recall': 0.7879858657243817, 'f1-score': 0.7691549642769154, 'support': 1981}, 'accuracy': 0.6409961685823755, 'macro avg': {'precision': 0.480864697836989, 'recall': 0.4830231395394563, 'f1-score': 0.48104604372329834, 'support': 2610}, 'weighted avg': {'precision': 0.620902051296085, 'recall': 0.6409961685823755, 'f1-score': 0.6302886723012641, 'support': 2610}};{'-1': {'precision': 0.23908918406072105, 'recall': 0.20095693779904306, 'f1-score': 0.21837088388214904, 'support': 627}, '1': {'precision': 0.7589027911453321, 'recall': 0.7972699696663297, 'f1-score': 0.7776134122287969, 'support': 1978}, 'accuracy': 0.653742802303263, 'macro avg': {'precision': 0.49899598760302655, 'recall': 0.49911345373268634, 'f1-score': 0.497992148055473, 'support': 2605}, 'weighted avg': {'precision': 0.6337883452174814, 'recall': 0.653742802303263, 'f1-score': 0.6430087806459376, 'support': 2605}};{'-1': {'precision': 0.26403326403326405, 'recall': 0.20385232744783308, 'f1-score': 0.23007246376811596, 'support': 623}, '1': {'precision': 0.7660377358490567, 'recall': 0.8210313447927199, 'f1-score': 0.7925817471937532, 'support': 1978}, 'accuracy': 0.673202614379085, 'macro avg': {'precision': 0.5150354999411604, 'recall': 0.5124418361202765, 'f1-score': 0.5113271054809345, 'support': 2601}, 'weighted avg': {'precision': 0.6457959880823366, 'recall': 0.673202614379085, 'f1-score': 0.6578476896873433, 'support': 2601}};{'-1': {'precision': 0.22440087145969498, 'recall': 0.16427432216905902, 'f1-score': 0.18968692449355432, 'support': 627}, '1': {'precision': 0.7554829678021465, 'recall': 0.819746835443038, 'f1-score': 0.78630403108305, 'support': 1975}, 'accuracy': 0.6617986164488855, 'macro avg': {'precision': 0.48994191963092076, 'recall': 0.4920105788060485, 'f1-score': 0.48799547778830216, 'support': 2602}, 'weighted avg': {'precision': 0.6275089192215481, 'recall': 0.6617986164488855, 'f1-score': 0.6425381103176335, 'support': 2602}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.23299748110831234, 'recall': 0.2945859872611465, 'f1-score': 0.260196905766526, 'support': 628}, '1': {'precision': 0.7538888888888889, 'recall': 0.6902339776195321, 'f1-score': 0.7206585236325014, 'support': 1966}, 'accuracy': 0.5944487278334618, 'macro avg': {'precision': 0.4934431849986006, 'recall': 0.4924099824403393, 'f1-score': 0.4904277146995137, 'support': 2594}, 'weighted avg': {'precision': 0.6277825650314478, 'recall': 0.5944487278334618, 'f1-score': 0.6091820795230825, 'support': 2594}};{'-1': {'precision': 0.2238993710691824, 'recall': 0.28298887122416533, 'f1-score': 0.25, 'support': 629}, '1': {'precision': 0.7515151515151515, 'recall': 0.6885411408379606, 'f1-score': 0.7186512118018966, 'support': 1981}, 'accuracy': 0.5908045977011495, 'macro avg': {'precision': 0.4877072612921669, 'recall': 0.485765006031063, 'f1-score': 0.4843256059009483, 'support': 2610}, 'weighted avg': {'precision': 0.6243617699440731, 'recall': 0.5908045977011495, 'f1-score': 0.6057080653561522, 'support': 2610}};{'-1': {'precision': 0.24307304785894207, 'recall': 0.3078149920255183, 'f1-score': 0.2716396903589022, 'support': 627}, '1': {'precision': 0.7603533959138598, 'recall': 0.6961577350859454, 'f1-score': 0.7268408551068883, 'support': 1978}, 'accuracy': 0.6026871401151631, 'macro avg': {'precision': 0.5017132218864009, 'recall': 0.5019863635557318, 'f1-score': 0.4992402727328953, 'support': 2605}, 'weighted avg': {'precision': 0.6358486825816396, 'recall': 0.6026871401151631, 'f1-score': 0.6172780411733039, 'support': 2605}};{'-1': {'precision': 0.26322930800542743, 'recall': 0.3113964686998395, 'f1-score': 0.2852941176470588, 'support': 623}, '1': {'precision': 0.7698497854077253, 'recall': 0.7254802831142568, 'f1-score': 0.7470067673086934, 'support': 1978}, 'accuracy': 0.6262975778546713, 'macro avg': {'precision': 0.5165395467065763, 'recall': 0.5184383759070481, 'f1-score': 0.5161504424778761, 'support': 2601}, 'weighted avg': {'precision': 0.648502396933434, 'recall': 0.6262975778546713, 'f1-score': 0.6364158481471408, 'support': 2601}};{'-1': {'precision': 0.22776280323450135, 'recall': 0.26953748006379585, 'f1-score': 0.2468955441928415, 'support': 627}, '1': {'precision': 0.7537634408602151, 'recall': 0.709873417721519, 'f1-score': 0.7311603650586701, 'support': 1975}, 'accuracy': 0.6037663335895465, 'macro avg': {'precision': 0.4907631220473582, 'recall': 0.48970544889265744, 'f1-score': 0.48902795462575577, 'support': 2602}, 'weighted avg': {'precision': 0.6270138636921434, 'recall': 0.6037663335895465, 'f1-score': 0.6144678044580265, 'support': 2602}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.23469387755102042, 'recall': 0.4028662420382166, 'f1-score': 0.29660023446658856, 'support': 628}, '1': {'precision': 0.7526385224274407, 'recall': 0.5803662258392676, 'f1-score': 0.6553704767375073, 'support': 1966}, 'accuracy': 0.5373939861218195, 'macro avg': {'precision': 0.49366619998923056, 'recall': 0.4916162339387421, 'f1-score': 0.4759853556020479, 'support': 2594}, 'weighted avg': {'precision': 0.627245601462756, 'recall': 0.5373939861218195, 'f1-score': 0.5685132245608931, 'support': 2594}};{'-1': {'precision': 0.22753346080305928, 'recall': 0.3783783783783784, 'f1-score': 0.28417910447761197, 'support': 629}, '1': {'precision': 0.75, 'recall': 0.5921251892983341, 'f1-score': 0.6617771509167841, 'support': 1981}, 'accuracy': 0.5406130268199234, 'macro avg': {'precision': 0.4887667304015296, 'recall': 0.48525178383835627, 'f1-score': 0.47297812769719805, 'support': 2610}, 'weighted avg': {'precision': 0.6240875658410437, 'recall': 0.5406130268199234, 'f1-score': 0.5707774684607538, 'support': 2610}};{'-1': {'precision': 0.23800564440263405, 'recall': 0.40350877192982454, 'f1-score': 0.2994082840236686, 'support': 627}, '1': {'precision': 0.7574578469520103, 'recall': 0.5904954499494439, 'f1-score': 0.6636363636363637, 'support': 1978}, 'accuracy': 0.545489443378119, 'macro avg': {'precision': 0.4977317456773222, 'recall': 0.4970021109396342, 'f1-score': 0.48152232383001614, 'support': 2605}, 'weighted avg': {'precision': 0.6324303878355193, 'recall': 0.545489443378119, 'f1-score': 0.5759699506163407, 'support': 2605}};{'-1': {'precision': 0.2561819980217606, 'recall': 0.4157303370786517, 'f1-score': 0.31701346389228885, 'support': 623}, '1': {'precision': 0.7710691823899372, 'recall': 0.6198179979777553, 'f1-score': 0.687219730941704, 'support': 1978}, 'accuracy': 0.5709342560553633, 'macro avg': {'precision': 0.5136255902058489, 'recall': 0.5177741675282035, 'f1-score': 0.5021165974169964, 'support': 2601}, 'weighted avg': {'precision': 0.6477417253113621, 'recall': 0.5709342560553633, 'f1-score': 0.5985467188802717, 'support': 2601}};{'-1': {'precision': 0.22736418511066397, 'recall': 0.36044657097288674, 'f1-score': 0.27884022208513265, 'support': 627}, '1': {'precision': 0.7506218905472637, 'recall': 0.6111392405063291, 'f1-score': 0.6737370918224951, 'support': 1975}, 'accuracy': 0.5507302075326672, 'macro avg': {'precision': 0.48899303782896386, 'recall': 0.48579290573960787, 'f1-score': 0.47628865695381384, 'support': 2602}, 'weighted avg': {'precision': 0.6245332735954005, 'recall': 0.5507302075326672, 'f1-score': 0.5785793910825542, 'support': 2602}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.24529721595184348, 'recall': 0.5191082802547771, 'f1-score': 0.3331630045988758, 'support': 628}, '1': {'precision': 0.7612648221343874, 'recall': 0.4898270600203459, 'f1-score': 0.5961002785515321, 'support': 1966}, 'accuracy': 0.4969159599074788, 'macro avg': {'precision': 0.5032810190431154, 'recall': 0.5044676701375614, 'f1-score': 0.464631641575204, 'support': 2594}, 'weighted avg': {'precision': 0.6363505365975186, 'recall': 0.4969159599074788, 'f1-score': 0.5324439146185066, 'support': 2594}};{'-1': {'precision': 0.2357301704966642, 'recall': 0.505564387917329, 'f1-score': 0.32153690596562184, 'support': 629}, '1': {'precision': 0.753370340999207, 'recall': 0.4795557799091368, 'f1-score': 0.5860579888957433, 'support': 1981}, 'accuracy': 0.48582375478927203, 'macro avg': {'precision': 0.4945502557479356, 'recall': 0.4925600839132329, 'f1-score': 0.4537974474306826, 'support': 2610}, 'weighted avg': {'precision': 0.6286210432037665, 'recall': 0.48582375478927203, 'f1-score': 0.5223094214003232, 'support': 2610}};{'-1': {'precision': 0.24944485566247224, 'recall': 0.5374800637958532, 'f1-score': 0.34074823053589487, 'support': 627}, '1': {'precision': 0.7687400318979266, 'recall': 0.487360970677452, 'f1-score': 0.5965346534653465, 'support': 1978}, 'accuracy': 0.49942418426103646, 'macro avg': {'precision': 0.5090924437801995, 'recall': 0.5124205172366526, 'f1-score': 0.4686414420006207, 'support': 2605}, 'weighted avg': {'precision': 0.6437503675986445, 'recall': 0.49942418426103646, 'f1-score': 0.534969168944515, 'support': 2605}};{'-1': {'precision': 0.2585139318885449, 'recall': 0.536115569823435, 'f1-score': 0.3488250652741514, 'support': 623}, '1': {'precision': 0.7792207792207793, 'recall': 0.5156723963599595, 'f1-score': 0.6206267112868877, 'support': 1978}, 'accuracy': 0.5205690119184929, 'macro avg': {'precision': 0.5188673555546621, 'recall': 0.5258939830916973, 'f1-score': 0.48472588828051955, 'support': 2601}, 'weighted avg': {'precision': 0.6544993774952961, 'recall': 0.5205690119184929, 'f1-score': 0.555523894883222, 'support': 2601}};{'-1': {'precision': 0.2393026941362916, 'recall': 0.48165869218500795, 'f1-score': 0.3197458973001588, 'support': 627}, '1': {'precision': 0.7574626865671642, 'recall': 0.5139240506329114, 'f1-score': 0.6123680241327301, 'support': 1975}, 'accuracy': 0.5061491160645657, 'macro avg': {'precision': 0.4983826903517279, 'recall': 0.4977913714089597, 'f1-score': 0.4660569607164444, 'support': 2602}, 'weighted avg': {'precision': 0.632602457799233, 'recall': 0.5061491160645657, 'f1-score': 0.5418553133241127, 'support': 2602}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.24501246882793018, 'recall': 0.6257961783439491, 'f1-score': 0.3521505376344086, 'support': 628}, '1': {'precision': 0.7626262626262627, 'recall': 0.384028484231943, 'f1-score': 0.5108254397834912, 'support': 1966}, 'accuracy': 0.4425597532767926, 'macro avg': {'precision': 0.5038193657270964, 'recall': 0.504912331287946, 'f1-score': 0.4314879887089499, 'support': 2594}, 'weighted avg': {'precision': 0.6373134397637519, 'recall': 0.4425597532767926, 'f1-score': 0.4724106986309762, 'support': 2594}};{'-1': {'precision': 0.2419950738916256, 'recall': 0.6248012718600954, 'f1-score': 0.3488681757656458, 'support': 629}, '1': {'precision': 0.7606490872210954, 'recall': 0.37859666834931854, 'f1-score': 0.5055611729019212, 'support': 1981}, 'accuracy': 0.4379310344827586, 'macro avg': {'precision': 0.5013220805563605, 'recall': 0.501698970104707, 'f1-score': 0.42721467433378346, 'support': 2610}, 'weighted avg': {'precision': 0.6356554571888209, 'recall': 0.4379310344827586, 'f1-score': 0.4677987609483896, 'support': 2610}};{'-1': {'precision': 0.24828446662507797, 'recall': 0.6347687400318979, 'f1-score': 0.35695067264573993, 'support': 627}, '1': {'precision': 0.7714570858283433, 'recall': 0.390798786653185, 'f1-score': 0.5187919463087247, 'support': 1978}, 'accuracy': 0.4495201535508637, 'macro avg': {'precision': 0.5098707762267106, 'recall': 0.5127837633425414, 'f1-score': 0.4378713094772323, 'support': 2605}, 'weighted avg': {'precision': 0.6455341559855612, 'recall': 0.4495201535508637, 'f1-score': 0.47983821172650154, 'support': 2605}};{'-1': {'precision': 0.25675675675675674, 'recall': 0.6404494382022472, 'f1-score': 0.36655948553054657, 'support': 623}, '1': {'precision': 0.7860553963705826, 'recall': 0.4160768452982811, 'f1-score': 0.5441322314049587, 'support': 1978}, 'accuracy': 0.46981930026912727, 'macro avg': {'precision': 0.5214060765636697, 'recall': 0.5282631417502641, 'f1-score': 0.45534585846775266, 'support': 2601}, 'weighted avg': {'precision': 0.6592760605461253, 'recall': 0.46981930026912727, 'f1-score': 0.5015994283754475, 'support': 2601}};{'-1': {'precision': 0.24177949709864605, 'recall': 0.5980861244019139, 'f1-score': 0.3443526170798898, 'support': 627}, '1': {'precision': 0.7602283539486203, 'recall': 0.40455696202531644, 'f1-score': 0.5280898876404494, 'support': 1975}, 'accuracy': 0.4511913912375096, 'macro avg': {'precision': 0.5010039255236332, 'recall': 0.5013215432136151, 'f1-score': 0.4362212523601696, 'support': 2602}, 'weighted avg': {'precision': 0.6352985179590224, 'recall': 0.4511913912375096, 'f1-score': 0.48381499577209014, 'support': 2602}}
